,Energy,dG/de1,dG/dT,dH/de1,alpha
105,0.6385067935871743,0.8113030736521887,0.5404954513381752,0.9172689430642368,-1.1306119412749525
106,0.6445877154308617,0.8053443919022958,0.5458033482016874,0.9111220574589393,-1.1313446354382466
107,0.650668637274549,0.7993530580273387,0.5510684453770848,0.9049050555811081,-1.1320467801977927
108,0.6567495591182364,0.7933310833322608,0.5562895797722897,0.8986211634963089,-1.1327189648510858
109,0.6628304809619238,0.7872803471280179,0.5614656058319768,0.8922734544388592,-1.1333617785504921
110,0.6689114028056111,0.7812022795478853,0.5665953881139756,0.8858644827332988,-1.1339758036113077
111,0.6749923246492986,0.7750981677894289,0.5716778000086692,0.8793966378920348,-1.1345616264325125
112,0.681073246492986,0.768969271611805,0.5767117240729512,0.8728722789888815,-1.13511984316264
113,0.6871541683366733,0.7628168228350822,0.5816960498913943,0.8662937353748704,-1.1356510625384562
114,0.6932350901803607,0.7566420264008337,0.5866296834065622,0.8596633059564914,-1.1361559045903193
115,0.699316012024048,0.7504460673509592,0.5915115405819908,0.8529832626804416,-1.1366349958917554
116,0.7053969338677354,0.7442301054634333,0.5963405569597704,0.8462558799359804,-1.1370890181995734
117,0.7114778557114227,0.737995279956201,0.6011156738972442,0.8394832908632254,-1.1375185094856537
118,0.7175587775551102,0.7317427083199115,0.6058358331616355,0.8326677645360314,-1.1379242390373043
119,0.7236396993987976,0.7254734934261022,0.6104999662434728,0.8258114353573955,-1.1383068338685125
120,0.7297206212424849,0.7191887119120743,0.6151070153337576,0.8189164366247599,-1.1386669771937104
121,0.7358015430861723,0.7128894278601274,0.6196559380623552,0.8119848732859656,-1.1390053513955058
122,0.7418824649298597,0.7065766917336855,0.6241457110895762,0.8050188304556973,-1.1393226522664797
123,0.747963386773547,0.7002515361637499,0.628575325298495,0.7980203627548593,-1.1396195817387635
124,0.7540443086172344,0.6939153187073323,0.6329437852239705,0.7909917413047848,-1.1398966415358756
125,0.7601252304609218,0.6875700059547503,0.6372501191513537,0.7839356558636276,-1.1401539466153199
126,0.7662061523046092,0.6812175897644901,0.6414933711285765,0.7768547974489352,-1.1403915710947932
127,0.7722870741482966,0.6748600141514457,0.6456726155838556,0.7697518040115704,-1.1406095899450193
128,0.7783679959919839,0.6684991785964145,0.6497869462557432,0.7626292622968683,-1.1408080768297877
129,0.7844489178356713,0.6621369370259677,0.6538354872684322,0.755489704837177,-1.1409871018984525
130,0.7905298396793586,0.6557750987633373,0.6578173864461099,0.7483356151990744,-1.1411467385850547
131,0.796610761523046,0.6494154277802162,0.6617318226011399,0.7411694246221868,-1.1412870605116316
132,0.8026916833667335,0.6430596458022558,0.6655780164830924,0.7339935124278124,-1.1414081372064813
133,0.8087726052104208,0.6367094273040201,0.6693552027571485,0.7268102164861017,-1.1415100598770616
134,0.8148535270541082,0.6303664062222801,0.6730626336957811,0.7196217802226159,-1.1415928468257595
135,0.8209344488977955,0.6240321715812348,0.6766995545080703,0.7124304613978981,-1.1416566225947469
136,0.8270153707414829,0.6177082711578712,0.6802652145974851,0.7052384226136995,-1.1417014398912877
137,0.8330962925851703,0.6113962079091925,0.6837589082095015,0.6980477845142673,-1.1417273700492836
138,0.8391772144288576,0.6050974477283502,0.6871799579216988,0.6908606235643692,-1.1417344861691123
139,0.8452581362725451,0.5988134123584613,0.6905277199950562,0.6836789572176236,-1.141722852407254
140,0.8513390581162324,0.5925454556564334,0.6938016339083714,0.6765047382938155,-1.141692560184046
141,0.8574199799599198,0.5862945466394494,0.6970010173226115,0.6693395390891065,-1.1416438084332496
142,0.8635009018036072,0.5800613326416334,0.7001253533194474,0.662184618291751,-1.1415769006289789
143,0.8695818236472945,0.5738464369649228,0.7031740677077435,0.6550412079374018,-1.1414921584281654
144,0.8756627454909819,0.5676504716757894,0.7061466115524763,0.6479105157293781,-1.141389901107012
145,0.8817436673346692,0.5614740353334968,0.7090424495373079,0.6407937268995301,-1.1412704534394364
146,0.8878245891783567,0.5553177139772031,0.7118610646938185,0.6336920045796465,-1.1411341447063237
147,0.8939055110220441,0.5491820823095803,0.7146019548316129,0.6266064904589633,-1.140981307736362
148,0.8999864328657314,0.5430677035179545,0.7172646344672521,0.6195383015893781,-1.1408122736374349
149,0.9060673547094188,0.5369751277360206,0.7198486320367256,0.6124885342471151,-1.1406273821833648
150,0.9121482765531062,0.5309048969020886,0.722353360904786,0.6054582742753835,-1.1404269913657328
151,0.9182291983967935,0.5248575415406674,0.7247787879866296,0.598448566889572,-1.1402114279102962
152,0.9243101202404809,0.5188335820517543,0.7271240850599148,0.5914604499508318,-1.1399810467392468
153,0.9303910420841683,0.5128335288511032,0.7293889096260123,0.584494937458086,-1.1397362001028388
154,0.9364719639278557,0.5068578832168795,0.7315730462449699,0.5775530230524,-1.1394772423915733
155,0.9425528857715431,0.5009071361351283,0.7336760492245858,0.5706356790119946,-1.1392045308335474
156,0.9486338076152304,0.4949817738881713,0.7356974898020788,0.5637438617089491,-1.1389184237646555
157,0.9547147294589178,0.48908226698857854,0.7376370803592208,0.5568785015258075,-1.1386192857792006
158,0.9607956513026051,0.4832090828932853,0.7394945023839864,0.5500405133731403,-1.1383074798174158
159,0.9668765731462925,0.47736269560790623,0.7412694548324901,0.54323080424968,-1.137983359922779
160,0.9729574949899799,0.4715438093692476,0.7429616506900939,0.5364504431290764,-1.1376470912568017
161,0.9790384168336673,0.46575328570599855,0.7445708280940158,0.5297006033996855,-1.1372986936565659
162,0.9851193386773547,0.4599919621129699,0.7460967430055995,0.5229824270663392,-1.1369381861892176
163,0.991200260521042,0.45426065133543553,0.7475391824237181,0.5162970211308938,-1.1365655810448996
164,0.9972811823647294,0.44856013656173893,0.7488978934554931,0.5096454516023351,-1.1361808820302703
165,1.0033621042084169,0.4428911701934508,0.7501728840211286,0.5030287812102171,-1.1357841724198265
166,1.0094430260521043,0.43725450205747435,0.7513638294757066,0.4964479916983069,-1.1353753691781359
167,1.0155239478957916,0.43165082032406527,0.7524705552204543,0.48990406296289796,-1.1349545509842853
168,1.021604869739479,0.4260808113603322,0.7534931779441326,0.4833979342620692,-1.1345217183537148
169,1.0276857915831663,0.42054513072087457,0.7544315191759315,0.47693051258062696,-1.1340768867376962
170,1.0337667134268538,0.4150444091253363,0.7552856388739352,0.4705026716324091,-1.1336200688113
171,1.0398476352705412,0.4095792519833602,0.7560566947852274,0.46411525495331246,-1.1331512831908972
172,1.0459285571142285,0.40415024268832483,0.7567417934502669,0.4577690738891732,-1.1326705406489104
173,1.052009478957916,0.3987579386482108,0.7573413717889325,0.45146490919361093,-1.1321778588887201
174,1.0580904008016032,0.3934028752761386,0.7578578946360928,0.4452035105444573,-1.1316732503085003
